,nom_film,type_production,theme_production,Synopsis,Realisateur,duree_film,sortie_film,acteurs_principaux,charts,rang,charts_IMDB,charts_METACRITIC,other_details
0,Parasite,Film,"['Drame', ' thriller', 'comédie']","Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner des cours particuliers d’anglais chez les Park. C’est le début d’un engrenage incontrôlable, dont personne ne sortira véritablement indemne…",['Bong Joon-ho'],2 h 12 min,5 juin 2019,"['Song Kang-ho', ' Lee Sun-kyun', ' Cho Yeo-jeong']","{'note_moyenne': 8.3, 'nombre_critiques': 47739, 'repartition_note': [53, 28, 90, 159, 448, 1453, 6018, 16519, 16966, 6005]}",1,"['8,6', '542 945']",96,"{'budget': '$11,400,000', 'Cumulative_WW_Gross': '$258,818,737', 'location': 'South Korea'}"
1,Joker,Film,"['Policier', ' drame', 'thriller']","Dans les années 1980, à Gotham City, Arthur Fleck, un comédien de stand-up raté est agressé alors qu'il erre dans les rues de la ville déguisé en clown. Méprisé de tous et bafoué, il bascule peu à peu dans la folie pour devenir le Joker, un dangereux tueur psychotique.",['Todd Phillips'],2 h 02 min,9 octobre 2019,"['Joaquin Phoenix', ' Robert De Niro', ' Zazie Beetz']","{'note_moyenne': 7.7, 'nombre_critiques': 49047, 'repartition_note': [182, 179, 350, 713, 1596, 3649, 9467, 16165, 12156, 4590]}",2,"['8,5', '930 457']",59,"{'budget': '$55,000,000', 'Cumulative_WW_Gross': '$1,074,251,311', 'location': 'USA | Canada'}"
2,Once Upon a Time... in Hollywood,Film,"['Drame', 'comédie']","En 1969, la star de télévision Rick Dalton et le cascadeur Cliff Booth, sa doublure de longue date, poursuivent leurs carrières au sein d’une industrie qu’ils ne reconnaissent plus.",['Quentin Tarantino'],2 h 35 min,14 août 2019,"['Leonardo DiCaprio', ' Brad Pitt', ' Margot Robbie']","{'note_moyenne': 7.2, 'nombre_critiques': 38320, 'repartition_note': [144, 225, 485, 1102, 2591, 5571, 10841, 11271, 4918, 1172]}",3,"['7,6', '545 370']",83,"{'budget': '$90,000,000', 'Cumulative_WW_Gross': '$374,343,626', 'location': 'USA | UK | China'}"
3,Green Book : Sur les routes du sud,Film,"['Drame', ' biopic', 'road movie']","En 1962, alors que règne la ségrégation, un videur italo-américain du Bronx est engagé pour conduire et protéger un pianiste noir de renommée mondiale lors d’une tournée de concerts. Ils s’appuient sur le Green Book pour dénicher les établissements accueillant les personnes de couleur.",['Peter Farrelly'],2 h 10 min,23 janvier 2019,"['Viggo Mortensen', ' Mahershala Ali', ' Linda Cardellini']","{'note_moyenne': 7.6, 'nombre_critiques': 31531, 'repartition_note': [47, 39, 116, 232, 755, 2356, 8176, 12601, 5719, 1490]}",4,"['8,2', '373 251']",69,"{'budget': '$23,000,000', 'Cumulative_WW_Gross': '$321,752,656', 'location': 'USA | China'}"
4,Les Misérables,Film,['Drame'],"Stéphane, tout juste arrivé de Cherbourg, intègre la Brigade Anti-Criminalité de Montfermeil, dans le 93. Il va faire la rencontre de ses nouveaux coéquipiers, Chris et Gwada, deux «Bacqueux» d’expérience. Il découvre rapidement les tensions entre les différents groupes du quartier.",['Ladj Ly'],1 h 44 min,20 novembre 2019,"['Damien Bonnard', ' Alexis Manenti', ' Djebril Zonga']","{'note_moyenne': 7.6, 'nombre_critiques': 23502, 'repartition_note': [152, 77, 142, 241, 638, 1873, 5519, 9263, 4249, 1348]}",5,"['7,6', '308 183']",63,"{'budget': '$61,000,000', 'Cumulative_WW_Gross': '$441,809,770', 'location': 'UK | USA'}"
5,Midsommar,Film,"['Drame', ' Épouvante-horreur', 'thriller']","Dani et Christian sont sur le point de se séparer quand la famille de Dani est touchée par une tragédie. Attristé par le deuil de la jeune femme, Christian ne peut se résoudre à la laisser seule et l’emmène avec lui et ses amis à un festival estival qui n’a lieu qu’une fois tous les 90 ans et se déroule dans un village suédois isolé. Mais ce qui commence comme des vacances insouciantes dans un pays où le soleil ne se couche pas va vite prendre une tournure beaucoup plus sinistre et inquiétante.",['Ari Aster'],2 h 27 min,31 juillet 2019,"['Florence Pugh', ' Jack Reynor', ' Vilhelm Blomgren']","{'note_moyenne': 7.2, 'nombre_critiques': 16484, 'repartition_note': [110, 122, 273, 524, 1102, 2389, 4688, 4866, 1865, 545]}",6,"['7,1', '198 576']",72,"{'budget': '$9,000,000', 'Cumulative_WW_Gross': '$47,903,099', 'location': 'USA | Sweden'}"
6,Le Chant du loup,Film,"['Action', ' drame', ' thriller']","Un jeune homme a le don rare de reconnaître chaque son qu’il entend. A bord d’un sous-marin nucléaire français, tout repose sur lui, l’Oreille d’Or. Réputé infaillible, il commet pourtant une erreur qui met l’équipage en danger de mort. Il veut retrouver la confiance de ses camarades mais sa quête les entraîne dans une situation encore plus dramatique. Dans le monde de la dissuasion nucléaire et de la désinformation, ils se retrouvent tous pris au piège d’un engrenage incontrôlable.",['Abel Lanzac (Antonin Baudry)'],1 h 55 min,20 février 2019,"['François Civil', ' Omar Sy', ' Mathieu Kassovitz']","{'note_moyenne': 7.3, 'nombre_critiques': 22782, 'repartition_note': [46, 56, 144, 357, 896, 2563, 7004, 7943, 3055, 718]}",7,"['6,9', '13 022']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': '$12,652,790', 'location': 'France'}"
7,La Favorite,Film,"['Historique', ' drame', ' comédie']","Début du XVIIIème siècle. L’Angleterre et la France sont en guerre. Toutefois, à la cour, la mode est aux courses de canards et à la dégustation d’ananas. La reine Anne, à la santé fragile et au caractère instable, occupe le trône tandis que son amie Lady Sarah gouverne le pays à sa place. Lorsqu’une nouvelle servante, Abigail Hill, arrive à la cour, Lady Sarah la prend sous son aile, pensant qu’elle pourrait être une alliée. Abigail va y voir l’opportunité de renouer avec ses racines aristocratiques. Alors que les enjeux politiques de la guerre absorbent Sarah, Abigail quant à elle parvient à gagner la confiance de la reine et devient sa nouvelle confidente. Cette amitié naissante donne à la jeune femme l’occasion de satisfaire ses ambitions, et elle ne laissera ni homme, ni femme, ni politique, ni même un lapin se mettre en travers de son chemin.",['Yórgos Lánthimos'],1 h 59 min,6 février 2019,"['Olivia Colman', ' Emma Stone', ' Rachel Weisz']","{'note_moyenne': 7.2, 'nombre_critiques': 15999, 'repartition_note': [48, 58, 117, 319, 780, 2178, 5309, 5315, 1564, 311]}",8,"['7,5', '171 390']",91,"{'budget': '$15,000,000', 'Cumulative_WW_Gross': '$95,918,706', 'location': 'Ireland | UK | USA'}"
8,Portrait de la jeune fille en feu,Film,"['Drame', ' historique', 'romance']","1770. Marianne est peintre et doit réaliser le portrait de mariage d’Héloïse, une jeune femme qui vient de quitter le couvent. Héloïse résiste à son destin d’épouse en refusant de poser. Marianne va devoir la peindre en secret. Introduite auprès d’elle en tant que dame de compagnie, elle la regarde.",['Céline Sciamma'],1 h 59 min,18 septembre 2019,"['Noémie Merlant', ' Adèle Haenel', ' Luàna Bajrami']","{'note_moyenne': 7.4, 'nombre_critiques': 13803, 'repartition_note': [49, 61, 106, 291, 659, 1476, 3145, 4382, 2524, 1110]}",9,"['8,1', '61 752']",95,"{'budget': None, 'Cumulative_WW_Gross': '$9,923,127', 'location': 'France'}"
9,Ad Astra,Film,"['Science-fiction', ' aventure', ' drame']","L’astronaute Roy McBride s’aventure jusqu’aux confins du système solaire à la recherche de son père disparu et pour résoudre un mystère qui menace la survie de notre planète. Lors de son voyage, il sera confronté à des révélations mettant en cause la nature même de l’existence humaine, et notre place dans l’univers.",['James Gray'],2 h 05 min,18 septembre 2019,"['Brad Pitt', ' Tommy Lee Jones', ' Ruth Negga']","{'note_moyenne': 6.5, 'nombre_critiques': 19936, 'repartition_note': [127, 177, 523, 1270, 2710, 4819, 5587, 3492, 1025, 206]}",10,"['6,5', '197 572']",80,"{'budget': '$90,000,000', 'Cumulative_WW_Gross': '$127,461,872', 'location': 'China | USA | Brazil'}"
10,Avengers : Endgame,Film,"['Action', ' aventure', ' fantasy']","Thanos ayant anéanti la moitié de l’univers, les Avengers restants resserrent les rangs dans ce vingt-deuxième film des Studios Marvel, grande conclusion d’un des chapitres de l’Univers Cinématographique Marvel.","['Anthony Russo', 'Joe Russo']",3 h 01 min,24 avril 2019,"['Robert Downey Jr.', ' Chris Evans', ' Mark Ruffalo']","{'note_moyenne': 6.6, 'nombre_critiques': 29454, 'repartition_note': [320, 369, 703, 1244, 2652, 5653, 8035, 6133, 2783, 1562]}",11,"['8,4', '801 630']",78,"{'budget': '$356,000,000', 'Cumulative_WW_Gross': '$2,797,800,564', 'location': 'USA'}"
11,Toy Story 4,Long-métrage d'animation,"['Animation', ' comédie', 'aventure']","Woody a toujours privilégié la joie et le bien-être de ses jeunes propriétaires – Andy puis Bonnie – et de ses compagnons, n’hésitant pas à prendre tous les risques pour eux, aussi inconsidérés soient-ils. L’arrivée de Forky un nouveau jouet qui ne veut pas en être un dans la chambre de Bonnie met toute la petite bande en émoi. C’est le début d’une grande aventure et d’un extraordinaire voyage pour Woody et ses amis. Le cowboy va découvrir à quel point le monde peut être vaste pour un jouet…",['Josh Cooley'],1 h 40 min,26 juin 2019,"['Tom Hanks', ' Tim Allen', ' Annie Potts']","{'note_moyenne': 7.2, 'nombre_critiques': 20994, 'repartition_note': [48, 36, 127, 308, 991, 3061, 7146, 6422, 2234, 621]}",12,"['7,8', '201 452']",84,"{'budget': '$200,000,000', 'Cumulative_WW_Gross': '$1,073,394,593', 'location': 'USA'}"
12,The Irishman,Film,"['Drame', ' gangster', ' policier']","Cette saga sur le crime organisé dans l'Amérique de l'après-guerre est racontée du point de vue de Frank Sheeran, un ancien soldat de la Seconde Guerre mondiale devenu escroc et tueur à gages ayant travaillé aux côtés de quelques-unes des plus grandes figures du XX° siècle. Couvrant plusieurs décennies, le film relate l'un des mystères insondables de l'histoire des États-Unis : la disparition du légendaire dirigeant syndicaliste Jimmy Hoffa. Il offre également une plongée monumentale dans les arcanes de la mafia en révélant ses rouages, ses luttes internes et ses liens avec le monde politique.",['Martin Scorsese'],3 h 29 min,27 novembre 2019,"['Robert De Niro', ' Al Pacino', ' Joe Pesci']","{'note_moyenne': 7.1, 'nombre_critiques': 14352, 'repartition_note': [42, 59, 156, 352, 1039, 2501, 4744, 3959, 1204, 296]}",13,"['7,9', '322 191']",94,"{'budget': '$159,000,000', 'Cumulative_WW_Gross': '$968,853', 'location': 'USA'}"
13,Marriage Story,Film,"['Drame', 'romance']","Un metteur en scène et sa femme, comédienne, se débattent dans un divorce exténuant qui les pousse à des extrêmes...",['Noah Baumbach'],2 h 17 min,6 décembre 2019,"['Scarlett Johansson', ' Adam Driver', ' Laura Dern']","{'note_moyenne': 7.3, 'nombre_critiques': 17437, 'repartition_note': [17, 38, 92, 237, 682, 2164, 5749, 6225, 1876, 357]}",14,"['7,9', '244 353']",94,"{'budget': '$18,600,000', 'Cumulative_WW_Gross': '$333,686', 'location': 'UK | USA'}"
14,90's,Film,['Comédie dramatique'],"Dans le Los Angeles des années 90, Stevie, 13 ans, a du mal à trouver sa place entre sa mère souvent absente et un grand frère caractériel. Quand une bande de skateurs le prend sous son aile, il se prépare à passer l’été de sa vie…",['Jonah Hill'],1 h 24 min,24 avril 2019,"['Sunny Suljic', ' Na-kel Smith', ' Olan Prenatt']","{'note_moyenne': 7.4, 'nombre_critiques': 10692, 'repartition_note': [9, 12, 42, 99, 345, 1208, 3525, 3849, 1284, 319]}",15,"['7,4', '48 500']",66,"{'budget': '$1,700,000', 'Cumulative_WW_Gross': '$9,303,022', 'location': 'USA'}"
15,À couteaux tirés,Film,"['Comédie', ' policier', ' drame']","Célèbre auteur de polars, Harlan Thrombey est retrouvé mort dans sa somptueuse propriété, le soir de ses 85 ans. L’esprit affûté et la mine débonnaire, le détective Benoit Blanc est alors engagé par un commanditaire anonyme afin d’élucider l’affaire. Mais entre la famille d’Harlan qui s'entre-déchire et son personnel qui lui reste dévoué, Blanc plonge dans les méandres d’une enquête mouvementée, mêlant mensonges et fausses pistes, où les rebondissements s'enchaînent à un rythme effréné jusqu'à la toute dernière minute.",['Rian Johnson'],2 h 10 min,27 novembre 2019,"['Daniel Craig', ' Chris Evans', ' Ana de Armas']","{'note_moyenne': 7.2, 'nombre_critiques': 19433, 'repartition_note': [23, 27, 104, 260, 807, 2773, 7765, 5999, 1378, 297]}",16,"['7,9', '446 311']",82,"{'budget': '$40,000,000', 'Cumulative_WW_Gross': '$311,398,301', 'location': 'USA'}"
